,name,cmc,colors,subtypes,rarity,power,toughness
147,Jhoira Weatherlight Captain,4.0,"['R', 'U']","['Human', 'Artificer']",Rare,3,3
149,Karrthus Tyrant of Jund,7.0,"['B', 'G', 'R']",['Dragon'],Mythic,7,7
150,Mazirek Kraul Death Priest,5.0,"['B', 'G']","['Insect', 'Shaman']",Rare,2,2
151,Rhys the Redeemed,1.0,"['G', 'W']","['Elf', 'Warrior']",Rare,1,1
152,Riku of Two Reflections,5.0,"['G', 'R', 'U']","['Human', 'Wizard']",Mythic,2,2
153,The Scarab God,5.0,"['B', 'U']",['God'],Mythic,5,5
154,Sen Triplets,5.0,"['B', 'U', 'W']","['Human', 'Wizard']",Mythic,3,3
155,Sharuum the Hegemon,6.0,"['B', 'U', 'W']",['Sphinx'],Rare,5,5
156,Vish Kal Blood Arbiter,7.0,"['B', 'W']",['Vampire'],Rare,5,5
157,Bosh Iron Golem,8.0,['UC'],['Golem'],Rare,6,7
161,Szarekh the Silent King,4.0,['B'],['Necron'],Mythic,3,4
162,Abaddon the Despoiler,5.0,"['B', 'R', 'U']","['Astartes', 'Warrior']",Mythic,5,5
163,Inquisitor Greyfax,4.0,"['B', 'U', 'W']","['Human', 'Inquisitor']",Mythic,3,3
164,The Swarmlord,6.0,"['G', 'R', 'U']",['Tyranid'],Mythic,5,5
165,Imotekh the Stormlord,4.0,['B'],['Necron'],Mythic,3,3
166,Be'lakor the Dark Master,6.0,"['B', 'R', 'U']","['Demon', 'Noble']",Mythic,6,5
167,Magus Lucea Kane,4.0,"['G', 'R', 'U']","['Human', 'Tyranid', 'Wizard']",Mythic,1,1
168,Marneus Calgar,5.0,"['B', 'U', 'W']","['Astartes', 'Warrior']",Mythic,3,5
169,Celestine the Living Saint,5.0,['W'],"['Human', 'Warrior']",Rare,3,4
171,Anrakyr the Traveller,5.0,['B'],['Necron'],Rare,4,4
173,Illuminor Szeras,3.0,['B'],['Necron'],Rare,3,3
175,Mortarion Daemon Primarch,6.0,['B'],"['Demon', 'Primarch']",Rare,5,6
177,Trazyn the Infinite,6.0,['B'],['Necron'],Rare,4,6
179,Khârn the Betrayer,4.0,['R'],"['Astartes', 'Berserker']",Rare,5,1
181,The Red Terror,4.0,['R'],['Tyranid'],Rare,4,3
183,Old One Eye,6.0,['G'],['Tyranid'],Rare,6,6
185,Belisarius Cawl,4.0,"['U', 'W']",['Human'],Rare,2,4
187,Commissar Severina Raine,3.0,"['B', 'W']","['Human', 'Soldier']",Rare,2,2
189,Deathleaper Terror Weapon,4.0,"['G', 'R']",['Tyranid'],Rare,3,3
191,Ghyrson Starn Kelermorph,3.0,"['R', 'U']","['Tyranid', 'Human']",Rare,3,2
193,Inquisitor Eisenhorn,4.0,"['B', 'U']","['Human', 'Inquisitor']",Rare,2,3
195,Lucius the Eternal,5.0,"['B', 'R']","['Astartes', 'Warrior']",Rare,5,3
197,Magnus the Red,5.0,"['R', 'U']","['Demon', 'Primarch']",Rare,4,5
199,Neyam Shai Murad,4.0,"['B', 'W']","['Human', 'Rogue']",Rare,3,3
217,Raksha Golden Cub,7.0,['W'],"['Cat', 'Soldier']",Rare,3,4
218,Akroma Angel of Wrath,8.0,['W'],['Angel'],Mythic,6,6
219,Darien King of Kjeldor,6.0,['W'],"['Human', 'Soldier']",Rare,3,3
220,"Kongming ""Sleeping Dragon""",4.0,['W'],"['Human', 'Advisor']",Uncommon,2,2
221,Thalia Guardian of Thraben,2.0,['W'],"['Human', 'Soldier']",Rare,2,1
222,Jalira Master Polymorphist,4.0,['U'],"['Human', 'Wizard']",Uncommon,2,2
223,Vendilion Clique,3.0,['U'],"['Faerie', 'Wizard']",Mythic,3,1
224,Ihsan's Shade,6.0,['B'],"['Shade', 'Knight']",Uncommon,5,5
225,Akroma Angel of Fury,8.0,['R'],['Angel'],Mythic,6,6
226,Zada Hedron Grinder,4.0,['R'],"['Goblin', 'Ally']",Uncommon,3,3
227,Azusa Lost but Seeking,3.0,['G'],"['Human', 'Monk']",Rare,1,2
228,Iwamori of the Open Fist,4.0,['G'],"['Human', 'Monk']",Uncommon,5,5
230,Brion Stoutarm,4.0,"['R', 'W']","['Giant', 'Warrior']",Rare,4,4
231,Gisela Blade of Goldnight,7.0,"['R', 'W']",['Angel'],Mythic,5,5
232,Grenzo Dungeon Warden,2.0,"['B', 'R']","['Goblin', 'Rogue']",Rare,2,2
234,Nicol Bolas,8.0,"['B', 'R', 'U']","['Elder', 'Dragon']",Rare,7,7
235,Niv-Mizzet the Firemind,6.0,"['R', 'U']","['Dragon', 'Wizard']",Rare,4,4
236,Prossh Skyraider of Kher,6.0,"['B', 'G', 'R']",['Dragon'],Mythic,5,5
238,Stangg,6.0,"['G', 'R']","['Human', 'Warrior']",Uncommon,3,4
239,Sram Senior Edificer,2.0,['W'],"['Dwarf', 'Advisor']",Rare,2,2
240,Baral Chief of Compliance,2.0,['U'],"['Human', 'Wizard']",Rare,1,3
242,Kari Zev Skyship Raider,2.0,['R'],"['Human', 'Pirate']",Rare,1,3
244,Hope of Ghirapur,1.0,['UC'],['Thopter'],Rare,1,1
245,Galea Kindler of Hope,4.0,"['G', 'U', 'W']","['Elf', 'Knight']",Mythic,4,4
246,Prosper Tome-Bound,4.0,"['B', 'R']","['Tiefling', 'Warlock']",Mythic,1,4
247,Sefris of the Hidden Ways,3.0,"['B', 'U', 'W']","['Human', 'Wizard']",Mythic,2,3
248,Vrondiss Rage of Ancients,5.0,"['G', 'R']","['Dragon', 'Barbarian']",Mythic,5,4
249,Minn Wily Illusionist,3.0,['U'],"['Gnome', 'Wizard']",Rare,1,3
250,Lorcan Warlock Collector,7.0,['B'],['Devil'],Rare,6,6
251,Catti-brie of Mithral Hall,2.0,"['G', 'W']","['Human', 'Archer']",Rare,2,2
252,Karazikar the Eye Tyrant,5.0,"['B', 'R']",['Beholder'],Mythic,5,5
253,Klauth Unrivaled Ancient,7.0,"['G', 'R']",['Dragon'],Mythic,4,4
254,Nihiloor,5.0,"['B', 'U', 'W']",['Horror'],Mythic,3,5
255,Storvald Frost Giant Jarl,7.0,"['G', 'U', 'W']",['Giant'],Mythic,7,7
256,Wulfgar of Icewind Dale,5.0,"['G', 'R']","['Human', 'Barbarian']",Rare,4,4
258,Gonti Lord of Luxury,4.0,['B'],"['Aetherborn', 'Rogue']",Rare,2,3
259,Etali Primal Storm,6.0,['R'],"['Elder', 'Dinosaur']",Rare,6,6
260,Atarka World Render,7.0,"['G', 'R']",['Dragon'],Rare,6,4
273,Icingdeath Frost Tyrant,4.0,['W'],['Dragon'],Mythic,4,3
274,Nadaar Selfless Paladin,3.0,['W'],"['Dragon', 'Knight']",Rare,3,3
275,Oswald Fiddlebender,2.0,['W'],"['Gnome', 'Artificer']",Rare,2,2
276,Grazilaxx Illithid Scholar,3.0,['U'],['Horror'],Rare,3,2
277,Iymrith Desert Doom,5.0,['U'],['Dragon'],Mythic,5,5
278,Acererak the Archlich,3.0,['B'],"['Zombie', 'Wizard']",Mythic,5,5
279,A-Acererak the Archlich,3.0,['B'],"['Zombie', 'Wizard']",Mythic,5,5
280,Asmodeus the Archfiend,6.0,['B'],"['Devil', 'God']",Rare,6,6
281,Ebondeath Dracolich,4.0,['B'],"['Zombie', 'Dragon']",Mythic,5,2
282,Delina Wild Mage,4.0,['R'],"['Elf', 'Shaman']",Rare,3,2
283,Inferno of the Star Mounts,6.0,['R'],['Dragon'],Mythic,6,6
284,Zalto Fire Giant Duke,5.0,['R'],"['Giant', 'Barbarian']",Rare,7,3
285,Old Gnawbone,7.0,['G'],['Dragon'],Mythic,7,7
286,The Tarrasque,9.0,['G'],['Dinosaur'],Mythic,10,10
287,Varis Silverymoon Ranger,3.0,['G'],"['Human', 'Elf', 'Ranger']",Rare,3,3
288,Barrowin of Clan Undurr,4.0,"['B', 'W']","['Dwarf', 'Cleric']",Uncommon,3,3
289,Bruenor Battlehammer,4.0,"['R', 'W']","['Dwarf', 'Warrior']",Uncommon,5,3
290,A-Bruenor Battlehammer,4.0,"['R', 'W']","['Dwarf', 'Warrior']",Uncommon,5,4
291,Drizzt Do'Urden,5.0,"['G', 'W']","['Elf', 'Ranger']",Rare,3,3
292,Farideh Devil's Chosen,4.0,"['R', 'U']","['Tiefling', 'Warlock']",Uncommon,3,3
293,Gretchen Titchwillow,2.0,"['G', 'U']","['Halfling', 'Druid']",Uncommon,0,4
294,Hama Pashar Ruin Seeker,3.0,"['U', 'W']","['Human', 'Wizard']",Uncommon,2,3
295,Kalain Reclusive Painter,2.0,"['B', 'R']","['Human', 'Elf', 'Bard']",Uncommon,1,2
296,Krydle of Baldur's Gate,2.0,"['B', 'U']","['Human', 'Elf', 'Rogue']",Uncommon,1,3
297,Minsc Beloved Ranger,3.0,"['G', 'R', 'W']","['Human', 'Ranger']",Mythic,3,3
298,Orcus Prince of Undeath,4.0,"['B', 'R']",['Demon'],Rare,5,3
299,Shessra Death's Whisper,4.0,"['B', 'G']","['Human', 'Elf', 'Warlock']",Uncommon,1,3
300,A-Shessra Death's Whisper,3.0,"['B', 'G']","['Human', 'Elf', 'Warlock']",Uncommon,1,4
301,Targ Nar Demon-Fang Gnoll,2.0,"['G', 'R']",['Gnoll'],Uncommon,2,2
302,Tiamat,7.0,"['B', 'G', 'R', 'U', 'W']","['Dragon', 'God']",Mythic,7,7
303,Trelasarra Moon Dancer,2.0,"['G', 'W']","['Elf', 'Cleric']",Uncommon,2,2
304,Volo Guide to Monsters,4.0,"['G', 'U']","['Human', 'Wizard']",Rare,3,2
305,Xanathar Guild Kingpin,6.0,"['B', 'U']",['Beholder'],Mythic,5,6
335,Gadwick the Wizened,3.0,['U'],"['Human', 'Wizard']",Rare,3,3
336,Oketra the True,4.0,['W'],['God'],Mythic,3,6
337,Kefnet the Mindful,3.0,['U'],['God'],Mythic,5,5
338,Bontu the Glorified,3.0,['B'],['God'],Mythic,4,6
339,Hazoret the Fervent,4.0,['R'],['God'],Mythic,5,4
340,Rhonas the Indomitable,3.0,['G'],['God'],Mythic,5,5
341,Hapatra Vizier of Poisons,2.0,"['B', 'G']","['Human', 'Cleric']",Rare,2,2
342,Neheb the Worthy,3.0,"['B', 'R']","['Minotaur', 'Warrior']",Rare,2,2
343,Samut Voice of Dissent,5.0,"['G', 'R']","['Human', 'Warrior']",Mythic,3,4
344,Temmet Vizier of Naktamun,2.0,"['U', 'W']","['Human', 'Cleric']",Rare,2,2
347,Unesh Criosphinx Sovereign,6.0,['U'],['Sphinx'],Mythic,4,4
349,Razaketh the Foulblooded,8.0,['B'],['Demon'],Mythic,8,8
351,Neheb the Eternal,5.0,['R'],"['Zombie', 'Minotaur', 'Warrior']",Mythic,4,6
354,The Locust God,6.0,"['R', 'U']",['God'],Mythic,4,4
358,The Scorpion God,5.0,"['B', 'R']",['God'],Mythic,6,5
360,Kresh the Bloodbraided,5.0,"['B', 'G', 'R']","['Human', 'Warrior']",Mythic,3,3
361,Mayael the Anima,3.0,"['G', 'R', 'W']","['Elf', 'Shaman']",Mythic,2,3
366,Kaysa,5.0,['G'],"['Elf', 'Druid']",Rare,2,3
367,Lord of Tresserhorn,4.0,"['B', 'R', 'U']",['Zombie'],Rare,10,4
368,Phelddagrif,4.0,"['G', 'U', 'W']",['Phelddagrif'],Rare,4,4
369,Gerrard Capashen,5.0,['W'],"['Human', 'Soldier']",Rare,3,4
370,Cromat,5.0,"['B', 'G', 'R', 'U', 'W']",['Illusion'],Rare,5,5
375,Jenara Asura of War,3.0,"['G', 'U', 'W']",['Angel'],Mythic,3,3
376,Ryusei the Falling Star,6.0,['R'],"['Dragon', 'Spirit']",Rare,5,5
377,Kamahl Fist of Krosa,6.0,['G'],"['Human', 'Druid']",Rare,4,3
379,Verdeloth the Ancient,6.0,['G'],['Treefolk'],Rare,4,7
381,Memnarch,7.0,['UC'],['Wizard'],Rare,4,5
384,Lady Orca,7.0,"['B', 'R']",['Demon'],Uncommon,7,4
386,Griselbrand,8.0,['B'],['Demon'],Mythic,7,7
387,Bruna Light of Alabaster,6.0,"['U', 'W']",['Angel'],Mythic,5,5
389,Sigarda Host of Herons,5.0,"['G', 'W']",['Angel'],Mythic,5,5
390,Regna the Redeemer,6.0,['W'],['Angel'],Rare,4,4
391,Krav the Unredeemed,5.0,['B'],['Demon'],Rare,3,3
392,Zndrsplt Eye of Wisdom,5.0,['U'],['Homunculus'],Rare,1,4
393,Okaun Eye of Chaos,5.0,['R'],"['Cyclops', 'Berserker']",Rare,3,3
394,Virtus the Veiled,3.0,['B'],"['Azra', 'Assassin']",Rare,1,1
395,Gorm the Great,4.0,['G'],"['Giant', 'Warrior']",Rare,2,7
396,Khorvath Brightflame,6.0,['R'],['Dragon'],Rare,3,4
397,Sylvia Brightspear,3.0,['W'],"['Human', 'Knight']",Rare,2,2
398,Pir Imaginative Rascal,3.0,['G'],['Human'],Rare,1,1
399,Toothy Imaginary Friend,4.0,['U'],['Illusion'],Rare,1,1
400,Najeela the Blade-Blossom,3.0,['R'],"['Human', 'Warrior']",Mythic,3,2
401,Grothama All-Devouring,5.0,['G'],['Wurm'],Mythic,10,8
402,Mangara of Corondor,3.0,['W'],"['Human', 'Wizard']",Rare,1,1
403,Gwafa Hazid Profiteer,3.0,"['U', 'W']","['Human', 'Rogue']",Rare,2,2
404,Ulamog the Ceaseless Hunger,10.0,['UC'],['Eldrazi'],Mythic,10,10
405,Drana Liberator of Malakir,3.0,['B'],"['Vampire', 'Ally']",Mythic,2,3
407,Munda Ambush Leader,4.0,"['R', 'W']","['Kor', 'Ally']",Rare,3,4
408,Noyan Dar Roil Shaper,5.0,"['U', 'W']","['Merfolk', 'Ally']",Rare,4,4
409,Omnath Locus of Rage,7.0,"['G', 'R']",['Elemental'],Mythic,5,5
410,Brimaz King of Oreskos,3.0,['W'],"['Cat', 'Soldier']",Mythic,3,4
411,Tromokratis,7.0,['U'],['Kraken'],Rare,8,8
412,Faithful Squire // Kaiso Memory of Loyalty,3.0,['W'],['Spirit'],Uncommon,3,4
413,Hokori Dust Drinker,4.0,['W'],['Spirit'],Rare,2,2
414,Kentaro the Smiling Cat,2.0,['W'],"['Human', 'Samurai']",Rare,2,1
415,Opal-Eye Konda's Yojimbo,3.0,['W'],"['Fox', 'Samurai']",Rare,1,4
416,Oyobi Who Split the Heavens,7.0,['W'],['Spirit'],Rare,3,6
417,Patron of the Kitsune,6.0,['W'],['Spirit'],Rare,5,6
418,Yomiji Who Bars the Way,7.0,['W'],['Spirit'],Rare,4,4
419,Callow Jushi // Jaraku the Interloper,3.0,['U'],['Spirit'],Uncommon,3,4
420,Chisei Heart of Oceans,4.0,['U'],['Spirit'],Rare,4,4
421,Higure the Still Wind,5.0,['U'],"['Human', 'Ninja']",Rare,3,4
422,Kira Great Glass-Spinner,3.0,['U'],['Spirit'],Rare,2,2
423,Patron of the Moon,7.0,['U'],['Spirit'],Rare,5,4
424,Tomorrow Azami's Familiar,6.0,['U'],['Spirit'],Rare,1,5
425,Hired Muscle // Scarmaker,3.0,['B'],['Spirit'],Uncommon,4,4
426,Ink-Eyes Servant of Oni,6.0,['B'],"['Rat', 'Ninja']",Rare,5,4
427,Kyoki Sanity's Eclipse,6.0,['B'],"['Demon', 'Spirit']",Rare,6,4
428,Patron of the Nezumi,7.0,['B'],['Spirit'],Rare,6,6
429,Shirei Shizo's Caretaker,5.0,['B'],['Spirit'],Rare,2,2
430,Toshiro Umezawa,3.0,['B'],"['Human', 'Samurai']",Rare,2,2
431,Yukora the Prisoner,4.0,['B'],"['Demon', 'Spirit']",Rare,5,5
432,Cunning Bandit // Azamuki Treachery Incarnate,3.0,['R'],['Spirit'],Uncommon,5,2
433,Fumiko the Lowblood,4.0,['R'],"['Human', 'Samurai']",Rare,3,2
434,Heartless Hidetsugu,5.0,['R'],"['Ogre', 'Shaman']",Rare,4,3
435,Ishi-Ishi Akki Crackshot,2.0,['R'],"['Goblin', 'Warrior']",Rare,1,1
436,Mannichi the Fevered Dream,3.0,['R'],['Spirit'],Rare,1,2
437,Patron of the Akki,6.0,['R'],['Spirit'],Rare,5,5
438,Budoka Pupil // Ichiga Who Topples Oaks,3.0,['G'],['Spirit'],Uncommon,4,3
439,Isao Enlightened Bushi,3.0,['G'],"['Human', 'Samurai']",Rare,2,1
441,Kodama of the Center Tree,5.0,['G'],['Spirit'],Rare,*,*
442,Patron of the Orochi,8.0,['G'],['Spirit'],Rare,7,7
443,Sakiko Mother of Summer,6.0,['G'],"['Snake', 'Shaman']",Rare,3,3
444,Shizuko Caller of Autumn,3.0,['G'],"['Snake', 'Shaman']",Rare,2,3
445,Prowl Stoic Strategist // Prowl Pursuit Vehicle,4.0,['W'],['Robot'],Mythic,3,3
446,Ratchet Field Medic // Ratchet Rescue Racer,3.0,['W'],['Robot'],Mythic,2,4
447,Jetfire Ingenious Scientist // Jetfire Air Guardian,5.0,['U'],['Robot'],Mythic,3,4
448,Blitzwing Cruel Tormentor // Blitzwing Adaptive Assailant,6.0,['B'],['Robot'],Mythic,6,5
449,Starscream Power Hungry // Starscream Seeker Leader,4.0,['B'],['Robot'],Mythic,2,3
450,Slicer Hired Muscle // Slicer High-Speed Antagonist,5.0,['R'],['Robot'],Mythic,3,4
451,Arcee Sharpshooter // Arcee Acrobatic Coupe,3.0,"['R', 'W']",['Robot'],Mythic,2,2
452,Blaster Combat DJ // Blaster Morale Booster,5.0,"['G', 'R']",['Robot'],Mythic,3,3
453,Cyclonus the Saboteur // Cyclonus Cybertronian Fighter,4.0,"['B', 'U']",['Robot'],Mythic,2,5
454,Flamewar Brash Veteran // Flamewar Streetwise Operative,3.0,"['B', 'R']",['Robot'],Mythic,3,2
455,Goldbug Humanity's Ally // Goldbug Scrappy Scout,3.0,"['U', 'W']",['Robot'],Mythic,3,3
456,Megatron Tyrant // Megatron Destructive Force,6.0,"['B', 'R', 'W']",['Robot'],Mythic,7,5
457,Optimus Prime Hero // Optimus Prime Autobot Leader,6.0,"['R', 'U', 'W']",['Robot'],Mythic,4,8
458,Soundwave Sonic Spy // Soundwave Superior Captain,4.0,"['B', 'U', 'W']",['Robot'],Mythic,5,4
459,Ultra Magnus Tactician // Ultra Magnus Armored Carrier,7.0,"['G', 'R', 'W']",['Robot'],Mythic,7,7
474,Mishra Eminent One,5.0,"['B', 'R', 'U']","['Human', 'Artificer']",Mythic,5,4
475,Urza Chief Artificer,6.0,"['B', 'U', 'W']","['Human', 'Artificer']",Mythic,4,5
476,Tawnos Solemn Survivor,2.0,['U'],"['Human', 'Artificer']",Mythic,1,3
477,Ashnod the Uncaring,5.0,"['B', 'R', 'U']","['Human', 'Artificer']",Mythic,1,4
478,Sanwell Avenger Ace,2.0,['W'],"['Human', 'Pilot']",Rare,3,1
479,Farid Enterprising Salvager,3.0,['R'],"['Human', 'Soldier']",Rare,3,3
480,Titania Nature's Force,6.0,['G'],['Elemental'],Mythic,6,6
481,The Archimandrite,5.0,"['R', 'U', 'W']","['Human', 'Advisor']",Rare,0,5
492,Losheel Clockwork Scholar,3.0,['W'],"['Elephant', 'Artificer']",Rare,2,4
493,Teshar Ancestor's Apostle,4.0,['W'],"['Bird', 'Cleric']",Rare,2,2
494,Emry Lurker of the Loch,3.0,['U'],"['Merfolk', 'Wizard']",Rare,1,2
495,Muzzio Visionary Architect,3.0,['U'],"['Human', 'Artificer']",Mythic,1,3
496,Padeem Consul of Innovation,4.0,['U'],"['Vedalken', 'Artificer']",Rare,1,4
497,Sai Master Thopterist,3.0,['U'],"['Human', 'Artificer']",Rare,1,4
498,Armix Filigree Thrasher,3.0,['B'],['Golem'],Uncommon,3,2
499,Fain the Broker,3.0,['B'],"['Human', 'Warlock']",Rare,3,3
501,Slobad Goblin Tinkerer,2.0,['R'],"['Goblin', 'Artificer']",Rare,1,2
502,Alela Artful Provocateur,4.0,"['B', 'U', 'W']","['Faerie', 'Warlock']",Mythic,2,3
506,Silas Renn Seeker Adept,3.0,"['B', 'U']",['Human'],Mythic,2,2
507,Traxos Scourge of Kroog,4.0,['UC'],['Construct'],Rare,7,7
508,Loran of the Third Path,3.0,['W'],"['Human', 'Artificer']",Rare,2,1
509,Loran Disciple of History,4.0,['W'],"['Human', 'Artificer']",Uncommon,3,3
510,Myrel Shield of Argive,4.0,['W'],"['Human', 'Soldier']",Mythic,3,4
511,Drafna Founder of Lat-Nam,2.0,['U'],"['Human', 'Artificer', 'Advisor']",Rare,2,1
512,Hurkyl Master Wizard,3.0,['U'],"['Human', 'Wizard', 'Advisor']",Rare,2,4
